STATE ID,STATE
102977996,Kentucky
102977997,North Dakota
102977998,Utah
102977999,Louisiana
102978000,Maine
102977993,Texas
102978001,North Carolina
102978002,New Hampshire
102977991,New York
102978003,Wyoming
102978004,Tennessee
102978005,South Dakota
102978006,Florida
102978007,Ohio
102978008,Colorado
102978009,Iowa
102978010,Alaska
102978011,Massachusetts
102978012,Minnesota
102977994,Arizona
102978013,Connecticut
102978014,Oklahoma
102978015,Illinois
102978016,Rhode Island
102978017,Delaware
102978018,Missouri
102978019,Nebraska
102978020,Pennsylvania
102978021,Alabama
102977995,California
102978022,New Mexico
102978023,Hawaii
102978024,Kansas
102977992,Georgia
102978025,Washington
102978026,Idaho
102978027,Montana
102978028,Michigan
102978029,Mississippi
102978030,Nevada
102978031,Arkansas
102978032,South Carolina
102978033,Virginia
102978034,Maryland
102978035,West Virginia
102978036,Oregon
102978037,New Jersey
102978038,Indiana
102978039,Vermont
102978040,Wisconsin
